0.00 ,2.06 ,15.02 
0.27 ,6.24 ,15.00 
107.09 ,11.10 ,15.01 
1107.03 ,16.55 ,14.98 
3690.35 ,23.07 ,15.05 
6993.96 ,30.60 ,15.00 
9570.56 ,38.35 ,15.05 
10808.88 ,45.66 ,15.01 
11244.62 ,52.14 ,15.03 
10984.94 ,57.76 ,14.96 
10704.02 ,62.50 ,14.98 
10435.47 ,66.50 ,15.04 
9863.26 ,69.89 ,14.98 
9563.56 ,72.65 ,15.02 
9144.45 ,74.93 ,14.99 
8873.39 ,76.73 ,15.00 
8549.47 ,78.12 ,14.96 
8382.99 ,79.15 ,14.96 
8433.28 ,79.86 ,15.03 
8272.89 ,80.33 ,15.00 
8177.23 ,80.55 ,14.98 
8180.41 ,80.55 ,14.98 
8336.61 ,80.36 ,15.03 
8321.56 ,80.04 ,15.00 
8444.39 ,79.58 ,15.02 
8532.18 ,79.02 ,15.01 
8671.51 ,78.36 ,15.02 
8766.45 ,77.62 ,15.01 
8764.53 ,76.83 ,14.96 
9038.23 ,75.95 ,15.01 
9236.85 ,75.07 ,15.03 
9344.64 ,74.18 ,15.02 
9244.03 ,73.27 ,14.93 
9549.33 ,72.31 ,14.99 
9680.50 ,71.37 ,14.99 
9858.64 ,70.46 ,15.01 
9915.62 ,69.57 ,14.98 
10070.49 ,68.69 ,15.00 
10301.36 ,67.85 ,15.05 
10339.25 ,67.06 ,15.02 
10385.61 ,66.29 ,15.01 
10380.78 ,65.54 ,14.97 
10526.49 ,64.79 ,15.00 
10615.72 ,64.08 ,15.00 
10628.56 ,63.42 ,14.98 
10705.63 ,62.78 ,14.99 
10815.65 ,62.17 ,15.01 
10947.21 ,61.61 ,15.05 
10693.95 ,61.11 ,14.93 
10834.61 ,60.56 ,14.97 
11032.27 ,60.06 ,15.03 
11021.40 ,59.64 ,15.02 
10985.44 ,59.24 ,14.99 
11058.33 ,58.84 ,15.01 
10979.30 ,58.49 ,14.97 
10995.82 ,58.13 ,14.97 
11107.83 ,57.79 ,15.01 
11205.97 ,57.50 ,15.04 
11162.31 ,57.26 ,15.02 
11083.99 ,57.03 ,14.99 
11191.00 ,56.79 ,15.03 
11119.56 ,56.58 ,14.99 
11093.87 ,56.38 ,14.98 
11120.25 ,56.17 ,14.99 
11114.59 ,55.98 ,14.98 
11147.50 ,55.81 ,14.99 
11204.59 ,55.66 ,15.02 
11096.46 ,55.54 ,14.97 
